Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3907,3296,7203,Labutta,MMR017016
 Rural,5411,42532,47943,Labutta,MMR017016
 Total,9318,45828,55146,Labutta,MMR017016
