Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,182,807,989,Mineyan,MMR016003
 Rural,664,8466,9130,Mineyan,MMR016003
 Total,846,9273,10119,Mineyan,MMR016003
