Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,213,3044,3257,Namtu,MMR015015
 Rural,420,7964,8384,Namtu,MMR015015
 Total,633,11008,11641,Namtu,MMR015015
