Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,42,152,194,Kongyan,MMR015023
 Rural,15,5253,5268,Kongyan,MMR015023
 Total,57,5405,5462,Kongyan,MMR015023
