Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3987,2012,5999,Kyonpyaw,MMR017005
 Rural,31193,22296,53489,Kyonpyaw,MMR017005
 Total,35180,24308,59488,Kyonpyaw,MMR017005
