Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,86,1069,1155,Ywarngan,MMR014007
 Rural,1310,15883,17193,Ywarngan,MMR014007
 Total,1396,16952,18348,Ywarngan,MMR014007
