Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,152,626,778,Khawzar,MMR011006
 Rural,435,3605,4040,Khawzar,MMR011006
 Total,587,4231,4818,Khawzar,MMR011006
