Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,238,581,819,Shwethaungyan(ST),MMR017001
 Rural,1967,7395,9362,Shwethaungyan(ST),MMR017001
 Total,2205,7976,10181,Shwethaungyan(ST),MMR017001
