Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,226,488,714,Mabane,MMR015018
 Rural,3051,4867,7918,Mabane,MMR015018
 Total,3277,5355,8632,Mabane,MMR015018
