Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,408,1675,2083,Mineshu,MMR014017
 Rural,448,6670,7118,Mineshu,MMR014017
 Total,856,8345,9201,Mineshu,MMR014017
