Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,104,2383,2487,Tamoenye(ST),MMR015011
 Rural,266,10296,10562,Tamoenye(ST),MMR015011
 Total,370,12679,13049,Tamoenye(ST),MMR015011
