Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3734,6514,10248,Pobbathiri,MMR018005
 Rural,5506,11862,17368,Pobbathiri,MMR018005
 Total,9240,18376,27616,Pobbathiri,MMR018005
