Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,282,933,1215,Maei(ST),MMR012016
 Rural,773,7965,8738,Maei(ST),MMR012016
 Total,1055,8898,9953,Maei(ST),MMR012016
