Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1874,828,2702,Patheingyi,MMR010007
 Rural,24755,25533,50288,Patheingyi,MMR010007
 Total,26629,26361,52990,Patheingyi,MMR010007
