Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,40,191,231,Mineyu(ST),MMR016011
 Rural,396,10240,10636,Mineyu(ST),MMR016011
 Total,436,10431,10867,Mineyu(ST),MMR016011
