Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,291,551,842,Kehsi,MMR014015
 Rural,614,7445,8059,Kehsi,MMR014015
 Total,905,7996,8901,Kehsi,MMR014015
