Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,267,495,762,Kenglat(ST),MMR016009
 Rural,465,1249,1714,Kenglat(ST),MMR016009
 Total,732,1744,2476,Kenglat(ST),MMR016009
