Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1316,943,2259,Pindaya,MMR014006
 Rural,2708,12577,15285,Pindaya,MMR014006
 Total,4024,13520,17544,Pindaya,MMR014006
