Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,16,139,155,Naphang,MMR015006
 Rural,163,16156,16319,Naphang,MMR015006
 Total,179,16295,16474,Naphang,MMR015006
