Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,22098,10627,32725,South Okkalapa,MMR013011
 Total,22098,10627,32725,South Okkalapa,MMR013011
