Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,869,849,1718,Linkhe`,MMR014018
 Rural,1790,4880,6670,Linkhe`,MMR014018
 Total,2659,5729,8388,Linkhe`,MMR014018
