Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,4636,3855,8491,Kyaukse,MMR010013
 Rural,22052,27222,49274,Kyaukse,MMR010013
 Total,26688,31077,57765,Kyaukse,MMR010013
