Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3396,1915,5311,Madaya,MMR010009
 Rural,21186,32148,53334,Madaya,MMR010009
 Total,24582,34063,58645,Madaya,MMR010009
