Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,422,4802,5224,Panglong(ST),MMR014011
 Rural,137,9155,9292,Panglong(ST),MMR014011
 Total,559,13957,14516,Panglong(ST),MMR014011
