Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,343,2127,2470,Pauktaw,MMR012007
 Rural,162,27912,28074,Pauktaw,MMR012007
 Total,505,30039,30544,Pauktaw,MMR012007
