Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,502,2116,2618,Myebon,MMR012006
 Rural,1162,27559,28721,Myebon,MMR012006
 Total,1664,29675,31339,Myebon,MMR012006
