Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2500,1450,3950,Kyaungon,MMR017007
 Rural,18069,19383,37452,Kyaungon,MMR017007
 Total,20569,20833,41402,Kyaungon,MMR017007
