Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,135,1633,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,121,2654,2775,Pansai(KyuKute)(ST),MMR015009
 Total,256,4287,4543,Pansai(KyuKute)(ST),MMR015009
