Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,421,769,1190,Mineyaung,MMR016011
 Rural,1372,3767,5139,Mineyaung,MMR016011
 Total,1793,4536,6329,Mineyaung,MMR016011
