Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,70,909,979,Naungtayar(ST),MMR014009
 Rural,899,14701,15600,Naungtayar(ST),MMR014009
 Total,969,15610,16579,Naungtayar(ST),MMR014009
