Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2191,1767,3958,Kungyangon,MMR013029
 Rural,7446,16948,24394,Kungyangon,MMR013029
 Total,9637,18715,28352,Kungyangon,MMR013029
