Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,4053,1849,5902,Paung,MMR011008
 Rural,18306,19518,37824,Paung,MMR011008
 Total,22359,21367,43726,Paung,MMR011008
