Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,999,733,1732,Sinku,MMR010010
 Rural,7458,25343,32801,Sinku,MMR010010
 Total,8457,26076,34533,Sinku,MMR010010
