Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,1276,1214,2490,Tada(ST),MMR013024
 Rural,2998,4005,7003,Tada(ST),MMR013024
 Total,4274,5219,9493,Tada(ST),MMR013024
