Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,2258,801,3059,Nyaungshwe,MMR014002
 Rural,5981,33594,39575,Nyaungshwe,MMR014002
 Total,8239,34395,42634,Nyaungshwe,MMR014002
