Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,532,341,873,Talay(ST),MMR016009
 Rural,1388,1757,3145,Talay(ST),MMR016009
 Total,1920,2098,4018,Talay(ST),MMR016009
