Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,11194,7703,18897,Myingyan,MMR010017
 Rural,21895,21548,43443,Myingyan,MMR010017
 Total,33089,29251,62340,Myingyan,MMR010017
