Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,4099,12587,16686,Mogok,MMR010011
 Rural,1716,16845,18561,Mogok,MMR010011
 Total,5815,29432,35247,Mogok,MMR010011
