Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,3846,2054,5900,Nyaungdon,MMR017021
 Rural,18891,26410,45301,Nyaungdon,MMR017021
 Total,22737,28464,51201,Nyaungdon,MMR017021
