Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,264,1484,1748,Kholan(ST),MMR014013
 Rural,133,2483,2616,Kholan(ST),MMR014013
 Total,397,3967,4364,Kholan(ST),MMR014013
