Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,468,302,770,Laymyethna,MMR017010
 Rural,11327,14147,25474,Laymyethna,MMR017010
 Total,11795,14449,26244,Laymyethna,MMR017010
