Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,182,245,427,Tontar(ST),MMR016007
 Rural,78,2189,2267,Tontar(ST),MMR016007
 Total,260,2434,2694,Tontar(ST),MMR016007
