Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,735,1327,2062,Buthidaung,MMR012010
 Rural,765,8437,9202,Buthidaung,MMR012010
 Total,1500,9764,11264,Buthidaung,MMR012010
