Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,7732,48916,56648,Taunggyi,MMR014001
 Rural,3194,22762,25956,Taunggyi,MMR014001
 Total,10926,71678,82604,Taunggyi,MMR014001
