Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,491,832,1323,Minephyat,MMR016010
 Rural,910,3932,4842,Minephyat,MMR016010
 Total,1401,4764,6165,Minephyat,MMR016010
