Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,4681,29418,34099,Lashio,MMR015001
 Rural,1343,29490,30833,Lashio,MMR015001
 Total,6024,58908,64932,Lashio,MMR015001
