Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Urban,206,1672,1878,An,MMR012014
 Rural,1175,24306,25481,An,MMR012014
 Total,1381,25978,27359,An,MMR012014
