School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,42,76,91,106,121,107,83,77,71,44,23,22,15,14,16,4,5,2,2,-,-,2,4,-,-,-,1,1,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,934,Kunhing,MMR014014
 Previously attended,4,18,10,19,13,18,25,34,50,44,50,60,38,70,49,85,39,76,70,61,80,50,45,61,57,92,44,59,48,35,90,52,41,64,50,77,30,47,47,35,92,34,33,52,39,68,33,40,53,29,50,43,27,29,26,50,11,10,19,6,19,6,14,10,4,12,4,7,8,2,13,3,3,4,2,7,3,1,1,2,1,1,1,1,-,3,2813,Kunhing,MMR014014
 Never attended,175,98,65,59,49,67,46,53,60,48,78,46,57,77,29,112,42,63,52,37,140,48,63,94,27,215,37,54,35,31,197,51,41,62,24,202,31,54,27,31,211,50,54,59,29,221,34,44,53,42,123,47,48,43,16,176,20,36,38,23,95,11,19,10,12,66,8,10,15,9,30,16,7,14,2,27,3,7,9,1,5,4,2,2,3,9,4540,Kunhing,MMR014014
 Total,221,192,166,184,183,192,154,164,181,136,151,128,110,161,94,201,86,141,124,98,220,100,112,155,84,307,82,114,83,66,287,104,82,126,74,281,61,101,74,66,303,84,87,111,68,289,67,84,106,71,175,90,75,72,42,226,31,46,57,29,114,17,33,20,16,78,12,17,23,11,43,19,10,18,4,34,6,8,10,3,6,5,3,3,3,12,8287,Kunhing,MMR014014
