School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,10,24,21,36,25,27,30,24,38,22,11,8,3,3,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,285,Monehta(ST),MMR016008
 Previously attended,-,1,3,-,2,11,12,10,7,12,10,16,20,18,23,33,25,23,22,21,39,14,10,18,7,30,9,7,11,9,31,6,9,12,7,25,4,3,4,1,17,7,5,5,6,18,2,5,6,1,3,2,-,2,1,7,1,1,-,1,2,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,621,Monehta(ST),MMR016008
 Never attended,54,40,26,16,16,15,12,13,16,22,23,24,16,27,27,39,25,20,19,13,47,14,22,18,14,68,20,12,15,17,37,14,19,14,16,101,12,18,7,9,54,12,7,7,9,75,1,13,7,10,17,9,5,3,1,39,-,4,3,4,5,-,2,1,-,12,-,-,-,1,1,1,-,-,-,2,-,-,1,-,-,-,-,1,-,2,1266,Monehta(ST),MMR016008
 Total,64,65,50,52,43,53,54,47,61,56,44,48,39,48,51,72,50,44,41,34,87,28,32,36,21,98,29,19,26,26,68,20,28,26,23,126,16,21,11,10,71,19,12,12,15,93,3,18,13,11,20,11,5,5,2,46,1,5,3,5,7,-,2,1,-,12,1,1,-,1,2,1,-,-,-,2,-,-,1,-,-,-,1,1,-,2,2172,Monehta(ST),MMR016008
