School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,86,140,214,276,235,331,215,315,275,208,196,148,116,91,44,46,9,18,11,10,12,6,8,5,4,4,3,1,1,2,2,2,-,-,-,1,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3039,Mine Pauk(ST),MMR016003
 Previously attended,11,8,10,8,10,21,14,23,45,40,55,60,78,145,77,188,119,111,115,123,159,124,122,152,85,165,71,85,73,63,106,75,61,79,46,82,37,44,45,34,62,33,29,40,30,58,26,37,22,25,26,24,14,14,8,30,6,9,5,6,10,6,5,5,1,11,-,3,2,2,-,3,-,3,-,4,-,1,-,1,1,-,-,-,-,-,3531,Mine Pauk(ST),MMR016003
 Never attended,604,470,325,396,248,464,173,283,239,203,415,243,231,457,231,784,197,229,282,189,641,243,250,351,167,1015,158,237,180,167,588,218,158,252,139,754,113,190,148,109,433,133,117,162,103,601,88,123,107,96,190,165,87,88,35,451,45,73,59,39,148,77,49,37,19,228,10,32,14,12,51,14,10,21,5,107,4,11,3,2,13,6,2,3,2,39,16855,Mine Pauk(ST),MMR016003
 Total,701,618,549,680,493,816,402,621,559,451,666,451,425,693,352,1018,325,358,408,322,812,373,380,508,256,1184,232,323,254,232,696,295,219,331,185,837,150,234,193,144,495,167,146,202,133,660,114,161,129,121,216,189,101,102,43,481,51,82,64,45,158,83,54,42,20,239,10,35,16,14,51,17,10,24,5,111,4,12,3,3,14,6,2,3,2,39,23425,Mine Pauk(ST),MMR016003
