School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,19,24,25,37,35,38,19,25,31,20,21,13,8,9,4,6,1,-,-,3,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,343,Sumprabum,MMR001015
 Previously attended,3,2,2,-,-,1,2,3,1,3,3,5,9,17,12,9,15,9,18,13,20,10,12,20,13,17,14,14,13,9,7,26,19,9,13,13,10,6,13,10,8,3,9,7,11,16,5,6,6,10,8,4,6,5,5,4,1,3,8,2,2,3,-,3,-,2,1,2,-,-,-,1,-,1,1,1,-,2,-,-,-,-,-,-,-,1,542,Sumprabum,MMR001015
 Never attended,16,2,2,-,1,-,-,1,2,-,-,1,-,-,4,2,1,1,-,2,1,1,2,2,1,2,3,1,1,2,1,-,4,2,-,3,2,3,3,-,5,1,3,1,3,4,3,1,2,4,5,3,-,3,2,6,3,1,2,3,1,1,4,1,-,1,-,1,-,1,1,1,1,3,-,1,1,-,3,1,-,-,-,-,-,1,147,Sumprabum,MMR001015
 Total,38,28,29,37,36,39,21,29,34,23,24,19,17,26,20,17,17,10,18,18,22,12,14,22,14,19,17,16,14,11,9,26,23,11,13,16,12,10,16,10,13,4,12,8,14,20,8,7,8,14,13,7,6,8,7,10,4,4,10,5,3,4,4,4,-,3,1,3,-,1,1,2,1,4,1,2,1,2,3,1,-,-,-,-,-,2,1032,Sumprabum,MMR001015
