School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,424,1534,1667,1449,1474,1445,1326,1255,1096,767,491,294,279,208,172,140,83,47,18,18,12,14,10,9,6,4,3,6,3,7,6,2,2,5,5,4,2,3,4,1,4,1,3,1,5,2,3,6,1,-,4,2,3,1,-,5,-,1,3,1,5,3,-,1,2,1,1,1,3,1,-,-,-,1,-,-,-,-,-,1,1,1,-,-,-,2,14365,Mudon,MMR011005
 Previously attended,88,163,171,172,200,248,314,466,677,904,1026,928,1074,1118,1007,1252,1094,1140,1078,939,1144,929,1031,1132,901,1195,923,1089,1019,878,1208,982,966,1081,879,1210,777,1034,1003,767,1154,886,811,919,745,980,705,843,788,723,899,730,675,671,471,745,458,521,549,427,642,339,396,339,246,381,218,285,288,197,362,190,141,199,97,142,104,101,97,93,100,78,59,44,31,124,54200,Mudon,MMR011005
 Never attended,1118,220,82,60,42,32,38,32,36,45,53,34,56,64,60,63,67,68,55,54,78,48,70,68,63,95,67,80,86,67,106,70,58,84,52,96,38,68,61,64,105,75,63,81,57,97,53,67,60,67,76,62,60,52,28,83,33,57,59,45,55,33,41,37,26,80,32,40,38,39,86,52,45,49,22,56,17,32,29,21,29,20,21,11,8,41,5938,Mudon,MMR011005
 Total,1630,1917,1920,1681,1716,1725,1678,1753,1809,1716,1570,1256,1409,1390,1239,1455,1244,1255,1151,1011,1234,991,1111,1209,970,1294,993,1175,1108,952,1320,1054,1026,1170,936,1310,817,1105,1068,832,1263,962,877,1001,807,1079,761,916,849,790,979,794,738,724,499,833,491,579,611,473,702,375,437,377,274,462,251,326,329,237,448,242,186,249,119,198,121,133,126,115,130,99,80,55,39,167,74503,Mudon,MMR011005
