School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,110,294,355,355,387,410,349,372,451,399,351,335,368,335,271,216,157,110,88,57,35,30,21,23,6,12,10,11,8,4,6,4,7,3,4,4,4,6,3,2,4,4,1,2,3,1,-,3,2,4,3,2,2,2,-,4,1,4,2,4,1,1,1,-,-,-,-,3,-,3,1,-,-,2,-,-,-,-,-,1,1,1,-,-,-,2,6038,Sangyoung,MMR013039
 Previously attended,63,100,100,97,100,121,118,145,173,206,209,257,308,416,421,507,547,573,677,606,644,631,605,638,644,715,535,591,579,530,560,534,500,536,501,617,454,525,556,467,532,510,499,529,477,528,451,477,440,411,429,370,395,399,379,407,303,356,288,253,265,252,262,215,173,176,127,134,136,124,129,116,96,92,61,88,68,81,62,72,42,38,37,26,22,71,28504,Sangyoung,MMR013039
 Never attended,236,39,13,7,5,2,3,5,4,5,7,5,8,5,3,5,4,6,2,4,5,2,-,1,3,3,3,5,4,2,1,4,4,3,5,-,5,1,2,2,-,-,2,3,2,4,3,4,3,5,2,3,-,2,1,3,1,3,2,1,3,1,2,4,1,3,-,1,-,1,2,-,1,-,1,1,1,1,2,1,1,2,1,-,-,3,500,Sangyoung,MMR013039
 Total,409,433,468,459,492,533,470,522,628,610,567,597,684,756,695,728,708,689,767,667,684,663,626,662,653,730,548,607,591,536,567,542,511,542,510,621,463,532,561,471,536,514,502,534,482,533,454,484,445,420,434,375,397,403,380,414,305,363,292,258,269,254,265,219,174,179,127,138,136,128,132,116,97,94,62,89,69,82,64,74,44,41,38,26,22,76,35042,Sangyoung,MMR013039
