School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,51,130,123,150,155,129,137,116,138,85,61,59,28,32,16,14,4,5,8,2,2,1,1,1,-,1,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1453,Cikha(ST),MMR004005
 Previously attended,2,12,11,9,16,16,10,17,25,25,40,61,76,84,77,108,79,72,109,98,92,76,61,83,75,100,61,66,57,71,84,57,56,62,39,69,34,77,56,51,67,45,37,45,41,53,19,28,33,35,35,25,18,21,22,29,13,22,14,15,26,11,10,9,6,14,6,6,10,7,6,7,2,5,2,5,5,3,1,4,3,2,-,-,-,-,3041,Cikha(ST),MMR004005
 Never attended,87,43,5,2,-,1,-,2,1,-,2,-,-,2,1,-,1,2,1,2,3,-,1,-,4,2,3,3,5,3,-,4,1,2,-,5,1,3,-,3,2,1,1,3,3,5,2,-,3,2,1,-,2,-,2,2,2,3,2,2,2,1,3,-,1,1,1,-,3,3,1,1,-,-,1,2,-,1,-,-,-,-,-,-,-,3,257,Cikha(ST),MMR004005
 Total,140,185,139,161,171,146,147,135,164,110,103,120,104,118,94,122,84,79,118,102,97,77,63,84,79,103,64,69,63,74,84,61,58,64,39,74,35,80,57,54,69,46,38,48,44,58,21,29,36,37,36,25,20,21,24,31,15,25,16,17,28,12,13,9,7,15,7,6,13,10,7,8,2,5,3,7,5,4,1,4,3,2,-,-,-,3,4751,Cikha(ST),MMR004005
