School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,35,112,127,148,124,123,101,111,105,68,41,18,12,8,3,3,2,-,-,-,3,2,1,1,-,-,-,1,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1154,Minengaw(ST),MMR015012
 Previously attended,8,19,18,25,23,25,22,41,41,40,69,87,67,87,60,91,59,80,82,71,82,62,72,72,60,115,73,61,54,62,81,58,59,72,51,88,53,65,76,53,95,65,56,52,35,74,29,48,55,50,54,46,37,45,21,41,19,20,19,18,27,8,11,8,6,12,4,7,9,4,9,3,3,2,-,3,2,3,-,2,2,1,1,-,1,1,3392,Minengaw(ST),MMR015012
 Never attended,202,90,62,35,16,21,12,15,25,9,23,20,23,20,21,31,23,17,27,17,40,19,21,42,14,65,22,32,25,17,48,30,28,41,26,81,26,37,41,35,75,32,33,42,14,83,30,40,58,32,54,43,27,43,23,74,22,21,25,18,41,15,21,13,2,34,9,10,9,16,13,9,9,17,6,14,6,2,2,3,4,3,7,2,2,10,2467,Minengaw(ST),MMR015012
 Total,245,221,207,208,163,169,135,167,171,117,133,125,102,115,84,125,84,97,109,88,125,83,94,115,74,180,95,94,79,80,129,88,88,113,77,169,79,102,118,88,170,97,89,94,49,157,59,88,113,82,108,89,64,88,44,115,42,41,44,36,68,23,33,21,8,46,13,17,18,20,22,12,12,19,6,17,8,5,2,5,6,4,8,2,3,11,7013,Minengaw(ST),MMR015012
