School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,604,1904,2132,1862,1920,2053,1754,1757,1503,1131,789,496,387,237,170,122,65,42,25,12,16,13,12,7,6,9,5,1,8,6,6,4,6,3,5,5,2,4,3,5,1,-,3,4,1,1,2,2,4,2,4,3,-,3,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,-,1,1,1,-,-,1,-,-,-,-,19133,Daydaye,MMR017026
 Previously attended,99,138,178,165,155,234,229,428,633,812,1010,1018,1127,1313,1110,1456,1173,1085,1154,1056,1482,1103,1439,1518,1323,1754,1408,1400,1381,1127,1576,1157,1180,1379,1276,1429,921,1360,1043,946,1220,955,893,978,726,940,680,706,760,683,738,605,522,531,455,524,365,367,394,295,387,257,223,180,152,182,93,90,101,95,147,86,82,74,40,51,50,44,51,33,20,25,16,15,11,49,56666,Daydaye,MMR017026
 Never attended,1341,244,65,41,40,37,23,36,46,41,49,50,52,70,54,90,47,66,68,63,93,69,101,103,117,131,113,120,147,138,235,152,149,165,163,200,124,204,149,174,260,166,205,192,181,245,174,188,235,202,261,213,166,213,159,250,168,163,184,158,196,126,125,72,64,99,47,57,78,65,119,88,62,73,39,68,40,39,47,33,35,22,17,6,13,35,11018,Daydaye,MMR017026
 Total,2044,2286,2375,2068,2115,2324,2006,2221,2182,1984,1848,1564,1566,1620,1334,1668,1285,1193,1247,1131,1591,1185,1552,1628,1446,1894,1526,1521,1536,1271,1817,1313,1335,1547,1444,1634,1047,1568,1195,1125,1481,1121,1101,1174,908,1186,856,896,999,887,1003,821,688,747,615,775,533,531,578,454,583,383,348,252,216,281,140,147,179,160,269,174,144,148,79,119,91,84,99,66,55,48,33,21,24,84,86817,Daydaye,MMR017026
