School_attendance,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 Currently attending,718,1817,2000,1790,1765,1763,1607,1604,1536,1163,894,649,549,491,345,268,176,110,65,31,28,21,25,17,12,14,9,4,7,6,19,5,2,7,6,2,2,3,5,-,4,6,5,2,3,6,6,5,6,2,1,3,3,6,2,3,-,4,1,1,3,1,2,3,2,4,1,2,-,-,-,2,2,1,-,-,-,1,-,1,-,-,-,-,-,2,19631,Sagaing,MMR005001
 Previously attended,183,298,346,347,379,458,454,690,945,1169,1409,1414,1664,1842,1652,2147,1806,1917,1923,1663,2197,1777,1816,2106,1860,2447,1743,2027,2053,1660,2291,1626,1763,1962,1549,2047,1417,1877,1890,1494,2239,1516,1698,1550,1333,1679,1228,1394,1366,1144,1464,1129,1129,991,827,1076,702,794,815,655,926,548,747,558,412,634,345,328,376,272,501,239,286,338,145,239,180,150,159,90,153,85,88,67,45,131,93079,Sagaing,MMR005001
 Never attended,1321,181,56,35,30,22,23,23,36,32,34,32,28,33,22,37,21,33,33,16,44,26,36,25,29,42,27,29,27,29,55,21,30,27,28,45,23,44,28,30,61,25,29,31,25,41,25,24,22,17,30,15,13,19,14,31,18,19,17,14,32,16,17,13,9,34,5,11,12,13,26,11,9,23,11,18,11,10,12,6,8,4,6,1,-,12,3513,Sagaing,MMR005001
 Total,2222,2296,2402,2172,2174,2243,2084,2317,2517,2364,2337,2095,2241,2366,2019,2452,2003,2060,2021,1710,2269,1824,1877,2148,1901,2503,1779,2060,2087,1695,2365,1652,1795,1996,1583,2094,1442,1924,1923,1524,2304,1547,1732,1583,1361,1726,1259,1423,1394,1163,1495,1147,1145,1016,843,1110,720,817,833,670,961,565,766,574,423,672,351,341,388,285,527,252,297,362,156,257,191,161,171,97,161,89,94,68,45,145,116223,Sagaing,MMR005001
