Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,118,1040,1158,Kunlon,MMR015020
 Rural,585,8649,9234,Kunlon,MMR015020
 Total,703,9689,10392,Kunlon,MMR015020
