Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Rural,523,8762,9285,Mine Pauk(ST),MMR016003
 Total,523,8762,9285,Mine Pauk(ST),MMR016003
