Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,18,3531,3549,Hainggyikyun(ST),MMR017004
 Rural,268,25258,25526,Hainggyikyun(ST),MMR017004
 Total,286,28789,29075,Hainggyikyun(ST),MMR017004
