Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,431,18466,18897,Myingyan,MMR010017
 Rural,1018,42425,43443,Myingyan,MMR010017
 Total,1449,60891,62340,Myingyan,MMR010017
