Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,10,769,779,Manton,MMR015019
 Rural,44,6860,6904,Manton,MMR015019
 Total,54,7629,7683,Manton,MMR015019
