Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,305,49429,49734,Mawlamyine,MMR011001
 Rural,242,7481,7723,Mawlamyine,MMR011001
 Total,547,56910,57457,Mawlamyine,MMR011001
