Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,8,10935,10943,Ahlon,MMR013037
 Total,8,10935,10943,Ahlon,MMR013037
